This is a test scenario,,,,,,,,,
OSMFILE,iowa_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,41.6448,-91.551,3.21,80,400,10,500,ConventionalVan,car
RVVEHICLE,41.6448,-91.551,0,80,30,5,100,bike,bike
RVVEHICLE,41.6448,-91.551,0,80,10,5,50,walk,foot
RVVEHICLE,41.6448,-91.551,0,80,100,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,41.6431,-91.504,Micro Depot 1,,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 2,,,,,,
RVPOINT,41.6521,-91.575,Micro Depot 3,,,,,,
RVPOINT,41.6681,-91.5247,Micro Depot 4,,,,,,
RVPOINT,41.6582,-91.5345,Micro Depot 5,,,,,,
RVPOINT,41.663,-91.544,Micro Depot 6,,,,,,
RVPOINT,41.6518,-91.5208,Micro Depot 7,,,,,,
RVPOINT,41.6634,-91.5314,Micro Depot 9,,,,,,
RVPOINT,41.6577,-91.5382,Micro Depot 10,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,41.6765,-91.5794,16,,,,,,
DELIVERY,41.68,-91.5268,8,,,,,,
DELIVERY,41.663,-91.5327,15,,,,,,
DELIVERY,41.666,-91.5536,14,,,,,,
DELIVERY,41.661,-91.5299,15,,,,,,
DELIVERY,41.6649,-91.5319,6,,,,,,
DELIVERY,41.6628,-91.5327,7,,,,,,
DELIVERY,41.6631,-91.5327,5,,,,,,
DELIVERY,41.6639,-91.5349,3,,,,,,
DELIVERY,41.6604,-91.5298,6,,,,,,
DELIVERY,41.6435,-91.5059,2,,,,,,
DELIVERY,41.6493,-91.5016,15,,,,,,
DELIVERY,41.6607,-91.5333,13,,,,,,
DELIVERY,41.6818,-91.5917,13,,,,,,
DELIVERY,41.6599,-91.535,6,,,,,,
DELIVERY,41.6588,-91.5324,16,,,,,,
DELIVERY,41.6521,-91.5762,16,,,,,,
DELIVERY,41.6796,-91.5905,16,,,,,,
DELIVERY,41.6884,-91.6017,5,,,,,,
DELIVERY,41.6884,-91.6014,6,,,,,,
DELIVERY,41.6724,-91.5659,12,,,,,,
DELIVERY,41.6716,-91.5658,12,,,,,,
DELIVERY,41.6591,-91.5344,12,,,,,,
DELIVERY,41.6641,-91.5314,6,,,,,,
DELIVERY,41.6766,-91.5188,3,,,,,,
DELIVERY,41.6885,-91.4909,16,,,,,,
DELIVERY,41.6613,-91.5361,5,,,,,,
DELIVERY,41.6727,-91.5667,19,,,,,,
DELIVERY,41.6989,-91.5661,16,,,,,,
DELIVERY,41.6979,-91.6072,9,,,,,,
DELIVERY,41.65,-91.5744,11,,,,,,
DELIVERY,41.6909,-91.6027,10,,,,,,
DELIVERY,41.6637,-91.5303,11,,,,,,
DELIVERY,41.6599,-91.5324,5,,,,,,
DELIVERY,41.6531,-91.5445,3,,,,,,
DELIVERY,41.6702,-91.5678,18,,,,,,
DELIVERY,41.6634,-91.5453,12,,,,,,
DELIVERY,41.6582,-91.5284,16,,,,,,
DELIVERY,41.6592,-91.5343,15,,,,,,
DELIVERY,41.642,-91.5048,15,,,,,,
DELIVERY,41.6841,-91.5037,4,,,,,,
DELIVERY,41.6844,-91.5035,7,,,,,,
DELIVERY,41.6918,-91.4969,16,,,,,,
DELIVERY,41.6666,-91.5205,6,,,,,,
DELIVERY,41.6912,-91.6,15,,,,,,
DELIVERY,41.6817,-91.5916,17,,,,,,
DELIVERY,41.6768,-91.5189,4,,,,,,
DELIVERY,41.6581,-91.5305,17,,,,,,
DELIVERY,41.6466,-91.5427,5,,,,,,
DELIVERY,41.6467,-91.5426,15,,,,,,
DELIVERY,41.683,-91.5648,15,,,,,,
DELIVERY,41.6651,-91.5354,14,,,,,,
DELIVERY,41.6587,-91.5441,3,,,,,,
DELIVERY,41.6593,-91.5424,18,,,,,,
DELIVERY,41.6627,-91.5384,8,,,,,,
DELIVERY,41.6703,-91.5673,15,,,,,,
DELIVERY,41.6587,-91.5322,2,,,,,,
