This is a test scenario,,,,,,,,,
OSMFILE,iowa_export_3.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,41.6451,-91.5536,3.21,80,400,10,500,ConventionalVan,car
RVVEHICLE,41.6451,-91.5536,0,80,30,5,100,bike,bike
RVVEHICLE,41.6451,-91.5536,0,80,10,5,50,walk,foot
RVVEHICLE,41.6451,-91.5536,0,80,100,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 1,,,,,,
RVPOINT,41.6855,-91.6021,Micro Depot 2,,,,,,
RVPOINT,41.6521,-91.575,Micro Depot 3,,,,,,
RVPOINT,41.6681,-91.5247,Micro Depot 4,,,,,,
RVPOINT,41.6793,-91.5897,Micro Depot 5,,,,,,
RVPOINT,41.6599,-91.5325,Micro Depot 6,,,,,,
RVPOINT,41.6518,-91.5208,Micro Depot 7,,,,,,
RVPOINT,41.6634,-91.5314,Micro Depot 9,,,,,,
RVPOINT,41.6577,-91.5382,Micro Depot 10,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,41.6447,-91.5025,19,,,,,,
DELIVERY,41.6765,-91.5794,17,,,,,,
DELIVERY,41.6761,-91.5801,8,,,,,,
DELIVERY,41.68,-91.5268,13,,,,,,
DELIVERY,41.663,-91.5327,16,,,,,,
DELIVERY,41.666,-91.5536,3,,,,,,
DELIVERY,41.661,-91.5299,15,,,,,,
DELIVERY,41.6649,-91.5319,9,,,,,,
DELIVERY,41.6628,-91.5327,11,,,,,,
DELIVERY,41.6631,-91.5327,17,,,,,,
DELIVERY,41.6639,-91.5349,16,,,,,,
DELIVERY,41.6592,-91.5304,18,,,,,,
DELIVERY,41.6604,-91.5298,19,,,,,,
DELIVERY,41.6446,-91.5023,17,,,,,,
DELIVERY,41.6493,-91.5016,13,,,,,,
DELIVERY,41.6607,-91.5333,5,,,,,,
DELIVERY,41.6818,-91.5917,13,,,,,,
DELIVERY,41.6599,-91.535,6,,,,,,
DELIVERY,41.6588,-91.5324,7,,,,,,
DELIVERY,41.6521,-91.5762,10,,,,,,
DELIVERY,41.6796,-91.5905,10,,,,,,
DELIVERY,41.6884,-91.6017,19,,,,,,
DELIVERY,41.6884,-91.6014,15,,,,,,
DELIVERY,41.6716,-91.5658,16,,,,,,
DELIVERY,41.6433,-91.5313,6,,,,,,
DELIVERY,41.6591,-91.5344,18,,,,,,
DELIVERY,41.6631,-91.5318,4,,,,,,
DELIVERY,41.6641,-91.5314,12,,,,,,
DELIVERY,41.6638,-91.5334,12,,,,,,
DELIVERY,41.6766,-91.5188,7,,,,,,
DELIVERY,41.6885,-91.4909,7,,,,,,
DELIVERY,41.6613,-91.5361,9,,,,,,
DELIVERY,41.6441,-91.53,18,,,,,,
DELIVERY,41.6979,-91.6072,19,,,,,,
DELIVERY,41.65,-91.5744,3,,,,,,
DELIVERY,41.6499,-91.5653,3,,,,,,
DELIVERY,41.6637,-91.5303,18,,,,,,
DELIVERY,41.6599,-91.5324,17,,,,,,
DELIVERY,41.648,-91.545,15,,,,,,
DELIVERY,41.648,-91.5452,5,,,,,,
DELIVERY,41.6633,-91.543,17,,,,,,
DELIVERY,41.6634,-91.5453,14,,,,,,
DELIVERY,41.6582,-91.5284,10,,,,,,
DELIVERY,41.6592,-91.5343,2,,,,,,
DELIVERY,41.642,-91.5048,6,,,,,,
DELIVERY,41.6841,-91.5037,12,,,,,,
DELIVERY,41.6844,-91.5035,5,,,,,,
DELIVERY,41.6918,-91.4969,19,,,,,,
DELIVERY,41.647,-91.5313,7,,,,,,
DELIVERY,41.6912,-91.6,18,,,,,,
DELIVERY,41.6817,-91.5916,5,,,,,,
DELIVERY,41.6427,-91.5296,10,,,,,,
DELIVERY,41.6043,-91.4611,7,,,,,,
DELIVERY,41.6466,-91.5427,2,,,,,,
DELIVERY,41.683,-91.5648,8,,,,,,
DELIVERY,41.6651,-91.5354,19,,,,,,
DELIVERY,41.6587,-91.5441,14,,,,,,
DELIVERY,41.6593,-91.5424,9,,,,,,
DELIVERY,41.6653,-91.5373,8,,,,,,
DELIVERY,41.6467,-91.5488,19,,,,,,
DELIVERY,41.6466,-91.5488,16,,,,,,
DELIVERY,41.6466,-91.5488,8,,,,,,
DELIVERY,41.6627,-91.5384,12,,,,,,
DELIVERY,41.6587,-91.5322,17,,,,,,
