This is a test scenario,,,,,,,,,
OSMFILE,ny_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,40.7597,-73.9837,5,60,500,10,500,ConventionalVan,car
RVVEHICLE,40.7597,-73.9837,0,30,100,5,100,bike,bike
RVVEHICLE,40.7597,-73.9837,0,10,40,2,50,walk,foot
RVVEHICLE,40.7597,-73.9837,0,38,300,7,350,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,40.6786,-73.9589,Micro Depot 1,,,,,,
RVPOINT,40.7092,-73.9642,Micro Depot 2,,,,,,
RVPOINT,40.6806,-73.7616,Micro Depot 3,,,,,,
RVPOINT,40.8077,-73.9645,Micro Depot 4,,,,,,
RVPOINT,40.5979,-73.748,Micro Depot 5,,,,,,
RVPOINT,40.765,-73.9132,Micro Depot 6,,,,,,
RVPOINT,40.6417,-74.0178,Micro Depot 7,,,,,,
RVPOINT,40.7605,-73.907,Micro Depot 8,,,,,,
RVPOINT,40.6351,-74.0097,Micro Depot 9,,,,,,
RVPOINT,40.7824,-73.9152,Micro Depot 10,,,,,,
RVPOINT,40.7134,-73.7657,Micro Depot 11,,,,,,
RVPOINT,40.6596,-73.9843,Micro Depot 12,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,40.8786,-73.9172,15,,,,,,
DELIVERY,40.6901,-73.992,8,,,,,,
DELIVERY,40.7139,-73.9804,3,,,,,,
DELIVERY,40.843,-74.1011,9,,,,,,
DELIVERY,40.7926,-73.9504,17,,,,,,
DELIVERY,40.6873,-73.9937,18,,,,,,
DELIVERY,40.7929,-73.9682,5,,,,,,
DELIVERY,40.8663,-73.9286,5,,,,,,
DELIVERY,40.7963,-73.9701,5,,,,,,
DELIVERY,40.7212,-73.9841,19,,,,,,
DELIVERY,40.7055,-74.0086,18,,,,,,
DELIVERY,40.7217,-73.9885,13,,,,,,
DELIVERY,40.7053,-73.9334,14,,,,,,
DELIVERY,40.7094,-73.9507,11,,,,,,
DELIVERY,40.7336,-73.9883,6,,,,,,
DELIVERY,40.721,-73.9407,17,,,,,,
DELIVERY,40.7854,-73.9785,14,,,,,,
DELIVERY,40.6977,-73.9937,14,,,,,,
DELIVERY,40.7996,-73.9632,2,,,,,,
DELIVERY,40.6978,-73.973,10,,,,,,
DELIVERY,40.6716,-73.9841,12,,,,,,
DELIVERY,40.7722,-73.9291,12,,,,,,
DELIVERY,40.6809,-73.9495,2,,,,,,
DELIVERY,40.6904,-73.9941,2,,,,,,
DELIVERY,40.682,-73.9765,2,,,,,,
DELIVERY,40.6878,-73.9844,7,,,,,,
DELIVERY,40.6742,-73.9997,9,,,,,,
DELIVERY,40.7106,-73.7928,11,,,,,,
DELIVERY,40.7103,-73.7929,12,,,,,,
DELIVERY,40.721,-73.9891,8,,,,,,
DELIVERY,40.7141,-73.9802,3,,,,,,
DELIVERY,40.5875,-73.9606,12,,,,,,
DELIVERY,40.6442,-73.9758,17,,,,,,
DELIVERY,40.7353,-73.9985,16,,,,,,
DELIVERY,40.7495,-73.8889,16,,,,,,
DELIVERY,40.6861,-73.9736,13,,,,,,
DELIVERY,40.8244,-73.948,9,,,,,,
DELIVERY,40.7446,-73.9964,10,,,,,,
DELIVERY,40.758,-73.9694,16,,,,,,
DELIVERY,40.737,-73.9955,14,,,,,,
DELIVERY,40.745,-73.9789,12,,,,,,
DELIVERY,40.7906,-73.9751,13,,,,,,
DELIVERY,40.7943,-73.9725,5,,,,,,
DELIVERY,40.71,-73.8474,4,,,,,,
DELIVERY,40.7104,-73.9632,14,,,,,,
DELIVERY,40.8812,-74.2278,16,,,,,,
DELIVERY,40.8384,-73.9134,18,,,,,,
DELIVERY,40.7422,-73.9949,19,,,,,,
DELIVERY,40.6779,-74.012,10,,,,,,
DELIVERY,40.7113,-73.9461,14,,,,,,
DELIVERY,40.7149,-73.9446,2,,,,,,
DELIVERY,40.7284,-73.9572,3,,,,,,
DELIVERY,40.7438,-73.922,19,,,,,,
DELIVERY,40.7065,-73.7954,17,,,,,,
DELIVERY,40.7063,-73.7953,13,,,,,,
DELIVERY,40.7602,-73.8283,14,,,,,,
DELIVERY,40.8065,-73.942,13,,,,,,
DELIVERY,40.727,-74.2508,10,,,,,,
DELIVERY,40.7097,-74.0065,6,,,,,,
DELIVERY,40.7184,-73.99,9,,,,,,
DELIVERY,40.8422,-74.2084,16,,,,,,
DELIVERY,40.7773,-73.9553,10,,,,,,
DELIVERY,40.7517,-73.9899,19,,,,,,
DELIVERY,40.8055,-73.9406,17,,,,,,
DELIVERY,40.7304,-73.9807,2,,,,,,
DELIVERY,40.7307,-73.9813,12,,,,,,
DELIVERY,40.7448,-73.9791,2,,,,,,
DELIVERY,40.9192,-74.1727,13,,,,,,
DELIVERY,40.7431,-73.9781,15,,,,,,
DELIVERY,40.882,-73.9021,16,,,,,,
DELIVERY,40.7504,-73.9677,7,,,,,,
DELIVERY,40.7121,-73.9981,10,,,,,,
DELIVERY,40.5733,-73.9803,2,,,,,,
DELIVERY,40.5752,-73.9808,9,,,,,,
DELIVERY,40.7684,-73.911,2,,,,,,
DELIVERY,40.7346,-74.0063,4,,,,,,
DELIVERY,40.7127,-73.7829,18,,,,,,
DELIVERY,40.7571,-73.8293,15,,,,,,
DELIVERY,40.5761,-74.1662,8,,,,,,
DELIVERY,40.5639,-74.1143,2,,,,,,
DELIVERY,40.7563,-73.9977,12,,,,,,
DELIVERY,40.7657,-73.9578,17,,,,,,
DELIVERY,40.7204,-73.9952,13,,,,,,
DELIVERY,40.7367,-73.9871,8,,,,,,
DELIVERY,40.7182,-73.9575,11,,,,,,
DELIVERY,40.7838,-73.9781,5,,,,,,
DELIVERY,40.7599,-73.9787,9,,,,,,
DELIVERY,40.8148,-74.2219,4,,,,,,
DELIVERY,40.8131,-74.2163,15,,,,,,
DELIVERY,40.7229,-73.9949,16,,,,,,
DELIVERY,40.7265,-73.9841,15,,,,,,
DELIVERY,40.6749,-73.9817,18,,,,,,
DELIVERY,40.6748,-73.9818,2,,,,,,
DELIVERY,40.7357,-73.9894,5,,,,,,
DELIVERY,40.8224,-73.8966,2,,,,,,
DELIVERY,40.6012,-74.0044,13,,,,,,
DELIVERY,40.7664,-73.9128,18,,,,,,
DELIVERY,40.6928,-73.9405,17,,,,,,
DELIVERY,40.7035,-73.9315,18,,,,,,
DELIVERY,40.7412,-74.0067,11,,,,,,
DELIVERY,40.8484,-73.856,3,,,,,,
DELIVERY,40.891,-73.8585,12,,,,,,
DELIVERY,40.6357,-73.9779,11,,,,,,
DELIVERY,40.7147,-73.998,6,,,,,,
DELIVERY,40.7504,-73.9674,7,,,,,,
DELIVERY,40.7573,-73.9078,18,,,,,,
DELIVERY,40.7413,-73.9816,5,,,,,,
DELIVERY,40.7638,-73.9237,9,,,,,,
DELIVERY,40.604,-73.7528,13,,,,,,
DELIVERY,40.6782,-73.9857,12,,,,,,
DELIVERY,40.7528,-74.0509,12,,,,,,
DELIVERY,40.7655,-73.7718,10,,,,,,
DELIVERY,40.7007,-73.9038,14,,,,,,
DELIVERY,40.7133,-73.9006,3,,,,,,
DELIVERY,40.7008,-73.907,3,,,,,,
DELIVERY,40.6924,-73.8585,6,,,,,,
DELIVERY,40.7095,-73.8992,12,,,,,,
DELIVERY,40.7088,-73.9065,5,,,,,,
DELIVERY,40.7564,-73.9213,10,,,,,,
DELIVERY,40.7052,-73.8965,19,,,,,,
DELIVERY,40.6176,-73.9849,17,,,,,,
DELIVERY,40.7081,-73.8976,9,,,,,,
DELIVERY,40.7025,-73.907,5,,,,,,
DELIVERY,40.6852,-73.9798,8,,,,,,
