This is a test scenario,,,,,,,,,
OSMFILE,scot_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,55.933366,-3.312951,3.21,80,400,10,500,ConventionalVan,car
RVVEHICLE,55.933366,-3.312951,0,80,30,5,100,bike,bike
RVVEHICLE,55.933366,-3.312951,0,80,10,5,50,walk,foot
RVVEHICLE,55.933366,-3.312951,0,80,100,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,55.951744,-3.190667,Micro Depot 1,,,,,,
RVPOINT,55.953799,-3.182706,Micro Depot 2,,,,,,
RVPOINT,55.961186,-3.186546,Micro Depot 3,,,,,,
RVPOINT,55.954827,-3.194715,Micro Depot 4,,,,,,
RVPOINT,55.951788,-3.203384,Micro Depot 5,,,,,,
RVPOINT,55.95067,-3.208985,Micro Depot 6,,,,,,
RVPOINT,55.947378,-3.213013,Micro Depot 7,,,,,,
RVPOINT,55.947618,-3.209193,Micro Depot 8,,,,,,
RVPOINT,55.945886,-3.217218,Micro Depot 9,,,,,,
RVPOINT,55.943651,-3.204065,Micro Depot 10,,,,,,
RVPOINT,55.94424,-3.194259,Micro Depot 11,,,,,,
RVPOINT,55.945754,-3.187242,Micro Depot 12,,,,,,
RVPOINT,55.94085,-3.214002,Micro Depot 13,,,,,,
RVPOINT,55.939593,-3.204741,Micro Depot 14,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,55.950586,-3.186331,20,,,,,,
DELIVERY,55.948193,-3.184672,20,,,,,,
DELIVERY,55.95047,-3.188057,12,,,,,,
DELIVERY,55.945762,-3.190827,5,,,,,,
DELIVERY,55.952014,-3.189547,5,,,,,,
DELIVERY,55.946318,-3.1997,5,,,,,,
DELIVERY,55.955924,-3.190914,5,,,,,,
DELIVERY,55.94842,-3.186376,10,,,,,,
DELIVERY,55.959033,-3.188111,10,,,,,,
DELIVERY,55.95679,-3.192431,10,,,,,,
DELIVERY,55.954833,-3.188431,10,,,,,,
DELIVERY,55.947979,-3.192497,10,,,,,,
DELIVERY,55.947742,-3.196092,10,,,,,,
DELIVERY,55.950736,-3.190275,10,,,,,,
DELIVERY,55.958704,-3.190535,8,,,,,,
DELIVERY,55.95065,-3.191729,8,,,,,,
DELIVERY,55.957073,-3.190021,8,,,,,,
DELIVERY,55.948776,-3.185811,8,,,,,,
DELIVERY,55.949355,-3.196526,8,,,,,,
DELIVERY,55.949493,-3.193391,8,,,,,,
DELIVERY,55.946384,-3.198996,8,,,,,,
DELIVERY,55.949729,-3.189411,8,,,,,,
DELIVERY,55.958799,-3.189065,8,,,,,,
DELIVERY,55.9487,-3.188995,8,,,,,,
DELIVERY,55.947497,-3.191713,8,,,,,,
DELIVERY,55.956235,-3.185607,8,,,,,,
DELIVERY,55.94979,-3.188708,8,,,,,,
DELIVERY,55.957563,-3.187713,8,,,,,,
DELIVERY,55.949616,-3.188095,8,,,,,,
DELIVERY,55.949873,-3.191691,8,,,,,,
DELIVERY,55.949654,-3.185101,8,,,,,,
DELIVERY,55.94817,-3.187121,8,,,,,,
DELIVERY,55.950309,-3.184224,8,,,,,,
DELIVERY,55.943218,-3.232954,8,,,,,,
DELIVERY,55.949287,-3.186851,8,,,,,,
DELIVERY,55.947968,-3.203289,8,,,,,,
DELIVERY,55.949505,-3.189854,8,,,,,,
DELIVERY,55.948608,-3.187311,8,,,,,,
DELIVERY,55.95405,-3.187638,8,,,,,,
DELIVERY,55.957603,-3.190101,8,,,,,,
DELIVERY,55.949332,-3.194235,8,,,,,,
DELIVERY,55.948976,-3.209517,8,,,,,,
DELIVERY,55.947889,-3.192029,8,,,,,,
DELIVERY,55.947909,-3.188971,8,,,,,,
DELIVERY,55.94994,-3.190859,8,,,,,,
DELIVERY,55.94958,-3.190896,8,,,,,,
DELIVERY,55.947473,-3.204298,8,,,,,,
DELIVERY,55.94845,-3.192511,8,,,,,,
DELIVERY,55.950299,-3.188083,8,,,,,,
